FID,CHSA_CD,CHSA_Area,Latitude,Longitude,Shape__Area,Shape__Length
207,2243,18.85,49.235845,-122.83831,44179523.72,34468.4161
208,3117,75.35,49.156267,-123.062012,175940926.1,80989.70861
209,4313,32.9,49.698999,-124.985571,78561548.05,69858.67257
210,1461,32371.36,51.891918,-123.833744,84876980516,1903541.661
211,3322,83.01,49.370958,-123.195865,195577619.7,74849.5039
212,4343,19068.6,51.027922,-126.403996,47961568253,8383475.02
213,5180,5037.07,55.166564,-129.394876,15404507346,921754.2971
214,5247,28854.88,56.457401,-124.839961,95138384489,3073621.497
215,4231,12.31,48.972915,-123.801663,28534440.77,40599.65221
216,3333,3755.32,49.832672,-123.745942,9021769962,1840571.514
217,5122,6112.4,54.262145,-130.021155,17863828878,3257758.491
218,4322,13176.1,50.581786,-125.108723,32576485635,4606853.964
