FID,CHSA_CD,CHSA_Name,CHSA_Title,CHSA_Pop16,CHSA_UR_Cl,CHSA_Pop16,LHA_CD
81,3113,Broadmoor,3113 Broadmoor,23478,1 Metropolitan,23478,311
82,3115,Steveston,3115 Steveston,24774,1 Metropolitan,24774,311
83,3116,East and West Cambie/Bridgeport,3116 East and West Cambie/Bridgeport,24621,1 Metropolitan,24621,311
84,3211,Downtown Vancouver,3211 Downtown Vancouver,41934,1 Metropolitan,41934,321
85,3212,West End,3212 West End,47203,1 Metropolitan,47203,321
86,3213,Fairview,3213 Fairview,32904,1 Metropolitan,32904,321
87,3221,Downtown Eastside,3221 Downtown Eastside,19960,1 Metropolitan,19960,322
88,3222,Northeast False Creek,3222 Northeast False Creek,12392,1 Metropolitan,12392,322
89,3223,Grandview-Woodland,3223 Grandview-Woodland,29180,1 Metropolitan,29180,322
90,3231,Cedar Cottage,3231 Cedar Cottage,18027,1 Metropolitan,18027,323
91,3232,Hastings-Sunrise,3232 Hastings-Sunrise,34575,1 Metropolitan,34575,323
92,3233,Renfrew-Collingwood,3233 Renfrew-Collingwood,51292,1 Metropolitan,51292,323
93,3241,Shaughnessy/Arbutus Ridge/Kerrisdale,3241 Shaughnessy/Arbutus Ridge/Kerrisdale,37993,1 Metropolitan,37993,324
94,3242,West Point Grey/Dunbar-Southlands,3242 West Point Grey/Dunbar-Southlands,34483,1 Metropolitan,34483,324
95,3243,University of British Columbia,3243 University of British Columbia,15890,1 Metropolitan,15890,324
96,3244,Kitsilano,3244 Kitsilano,42812,1 Metropolitan,42812,324
97,3251,Kensington,3251 Kensington,31755,1 Metropolitan,31755,325
98,3252,Mount Pleasant,3252 Mount Pleasant,32807,1 Metropolitan,32807,325
99,3253,South Cambie/Riley Park,3253 South Cambie/Riley Park,31246,1 Metropolitan,31246,325
100,3261,Killarney,3261 Killarney,29561,1 Metropolitan,29561,326
101,3262,Oakridge/Marpole,3262 Oakridge/Marpole,37453,1 Metropolitan,37453,326
102,3263,Sunset,3263 Sunset,36496,1 Metropolitan,36496,326
103,3264,Victoria-Fraserview,3264 Victoria-Fraserview,31065,1 Metropolitan,31065,326
104,3311,North Vancouver City - East,3311 North Vancouver City - East,19230,1 Metropolitan,19230,331
105,3312,North Vancouver City - West,3312 North Vancouver City - West,34244,1 Metropolitan,34244,331
106,3313,North Vancouver DM - Central,3313 North Vancouver DM - Central,29808,1 Metropolitan,29808,331
107,3314,North Vancouver DM - East,3314 North Vancouver DM - East,29271,1 Metropolitan,29271,331
108,3315,North Vancouver DM - West,3315 North Vancouver DM - West,28839,1 Metropolitan,28839,331
109,3321,West Vancouver - Lower,3321 West Vancouver - Lower,19412,1 Metropolitan,19412,332
110,3323,Bowen Island/Lions Bay,3323 Bowen Island/Lions Bay,5086,6 Rural,5086,332
111,3331,Gibsons,3331 Gibsons,8269,5 Rural Hub,8269,333
112,3332,Sechelt,3332 Sechelt,10862,5 Rural Hub,10862,333
113,3341,Powell River City,3341 Powell River City,13157,4 Small Urban,13157,334
114,3342,qathet Rural,3342 qathet Rural,6514,6 Rural,6514,334
115,3351,Squamish,3351 Squamish,19893,4 Small Urban,19893,335
116,3352,Whistler,3352 Whistler,11854,5 Rural Hub,11854,335
117,3353,Howe Sound Rural,3353 Howe Sound Rural,6906,6 Rural,6906,335
118,3360,Bella Coola Valley,3360 Bella Coola Valley,2678,7 Remote,2678,336
119,3370,Central Coast,3370 Central Coast,1514,7 Remote,1514,337
120,4111,Downtown Victoria/Vic West,4111 Downtown Victoria/Vic West,31290,2 Large Urban,31290,411
121,4119,Esquimalt,4119 Esquimalt,19497,2 Large Urban,19497,411
122,4115,Gordon Head/Shelbourne,4115 Gordon Head/Shelbourne,38257,2 Large Urban,38257,411
123,4112,James Bay/Fairfield,4112 James Bay/Fairfield,32057,2 Large Urban,32057,411
124,4114,Oak Bay,4114 Oak Bay,18094,2 Large Urban,18094,411
125,4113,Oaklands/Fernwood,4113 Oaklands/Fernwood,22445,2 Large Urban,22445,411
126,4116,Quadra/Swan Lake,4116 Quadra/Swan Lake,24167,2 Large Urban,24167,411
127,4117,Interurban/Tillicum,4117 Interurban/Tillicum,29704,2 Large Urban,29704,411
128,4118,View Royal,4118 View Royal,10408,2 Large Urban,10408,411
129,4121,Colwood,4121 Colwood,16859,2 Large Urban,16859,412
130,4122,Metchosin,4122 Metchosin,4837,6 Rural,4837,412
131,4123,Langford/Highlands,4123 Langford/Highlands,37985,2 Large Urban,37985,412
132,4124,Sooke,4124 Sooke,14894,5 Rural Hub,14894,412
133,4125,Juan de Fuca Coast,4125 Juan de Fuca Coast,2885,6 Rural,2885,412
134,4131,Royal Oak/Cordova Bay/Prospect,4131 Royal Oak/Cordova Bay/Prospect,22020,2 Large Urban,22020,413
135,4132,Central Saanich,4132 Central Saanich,19325,2 Large Urban,19325,413
136,4133,North Saanich,4133 North Saanich,11675,2 Large Urban,11675,413
137,4134,Sidney,4134 Sidney,11672,2 Large Urban,11672,413
138,4141,Salt Spring Island,4141 Salt Spring Island,10557,6 Rural,10557,414
139,4142,Pender/Galiano/Saturna/Mayne,4142 Pender/Galiano/Saturna/Mayne,4732,6 Rural,4732,414
140,4211,South Cowichan,4211 South Cowichan,17780,5 Rural Hub,17780,421
141,4212,Central Cowichan,4212 Central Cowichan,40598,4 Small Urban,40598,421
142,4220,Cowichan Valley West,4220 Cowichan Valley West,6240,6 Rural,6240,422
143,4233,Chemainus,4233 Chemainus,6037,5 Rural Hub,6037,423
144,4234,Penelakut and Thetis Islands,4234 Penelakut and Thetis Islands,851,6 Rural,851,423
145,4241,Downtown Nanaimo,4241 Downtown Nanaimo,20117,3 Medium Urban,20117,424
146,4242,Departure Bay,4242 Departure Bay,25680,3 Medium Urban,25680,424
147,4243,Nanaimo North/Lantzville,4243 Nanaimo North/Lantzville,30045,3 Medium Urban,30045,424
148,4244,Nanaimo South,4244 Nanaimo South,14529,3 Medium Urban,14529,424
149,4245,Nanaimo West/Rural,4245 Nanaimo West/Rural,7502,6 Rural,7502,424
150,4246,Cedar/Wellington,4246 Cedar/Wellington,7058,6 Rural,7058,424
151,4247,Gabriola Island,4247 Gabriola Island,4033,6 Rural,4033,424
152,4251,Parksville,4251 Parksville,13260,4 Small Urban,13260,425
153,4252,Qualicum Beach,4252 Qualicum Beach,8943,4 Small Urban,8943,425
154,4253,Oceanside Rural,4253 Oceanside Rural,24930,6 Rural,24930,425
155,4261,Port Alberni,4261 Port Alberni,21118,4 Small Urban,21118,426
156,4262,Alberni Valley/Bamfield,4262 Alberni Valley/Bamfield,4329,6 Rural,4329,426
157,4263,West Coast,4263 West Coast,5534,7 Remote,5534,426
158,4311,Comox,4311 Comox,21744,3 Medium Urban,21744,431
159,4312,Comox Valley Rural,4312 Comox Valley Rural,19623,6 Rural,19623,431
160,4321,Campbell River,4321 Campbell River,33465,3 Medium Urban,33465,432
161,4342,Port McNeill/Sointula,4342 Port McNeill/Sointula,3021,5 Rural Hub,3021,434
162,5101,Haida Gwaii South,5101 Haida Gwaii South,2323,7 Remote,2323,510
163,5102,Haida Gwaii North,5102 Haida Gwaii North,1875,7 Remote,1875,510
164,5121,Prince Rupert City Centre,5121 Prince Rupert City Centre,12220,4 Small Urban,12220,512
165,5130,Upper Skeena,5130 Upper Skeena,4223,7 Remote,4223,513
166,5141,Smithers Town Centre,5141 Smithers Town Centre,6182,5 Rural Hub,6182,514
167,5142,Smithers Rural,5142 Smithers Rural,6786,6 Rural,6786,514
168,5143,Houston,5143 Houston,3446,5 Rural Hub,3446,514
169,5150,Kitimat,5150 Kitimat,9090,5 Rural Hub,9090,515
170,5160,Stikine,5160 Stikine,1033,7 Remote,1033,516
171,5171,Terrace City Centre,5171 Terrace City Centre,11977,4 Small Urban,11977,517
172,5172,Terrace Rural,5172 Terrace Rural,8273,6 Rural,8273,517
173,5190,Telegraph Creek,5190 Telegraph Creek,595,7 Remote,595,519
174,5211,Quesnel City Centre,5211 Quesnel City Centre,9987,4 Small Urban,9987,521
175,5212,Quesnel Rural,5212 Quesnel Rural,13218,6 Rural,13218,521
176,5221,Burns Lake Town Centre,5221 Burns Lake Town Centre,2065,5 Rural Hub,2065,522
177,5222,Burns Lake South,5222 Burns Lake South,1740,7 Remote,1740,522
178,5223,Burns Lake North,5223 Burns Lake North,2451,6 Rural,2451,522
179,5231,Vanderhoof,5231 Vanderhoof,4439,6 Rural,4439,523
180,5232,Vanderhoof Rural,5232 Vanderhoof Rural,3996,6 Rural,3996,523
181,5233,Fort St. James North,5233 Fort St. James North,4558,6 Rural,4558,523
182,5234,Fraser Lake,5234 Fraser Lake,2864,6 Rural,2864,523
183,5241,Prince George City - North,5241 Prince George City - North,16947,3 Medium Urban,16947,524
184,5242,Prince George City - Central,5242 Prince George City - Central,41431,3 Medium Urban,41431,524
185,5243,Prince George City - Southwest,5243 Prince George City - Southwest,15730,3 Medium Urban,15730,524
186,5246,McBride/Valemount,5246 McBride/Valemount,3223,7 Remote,3223,524
187,5245,Prince George North Fraser Rural,5245 Prince George North Fraser Rural,5486,6 Rural,5486,524
188,5244,Prince George Southwest Rural,5244 Prince George Southwest Rural,7847,6 Rural,7847,524
189,5311,Dawson Creek,5311 Dawson Creek,12198,4 Small Urban,12198,531
190,5312,Chetwynd,5312 Chetwynd,2503,6 Rural,2503,531
191,5313,Tumbler Ridge,5313 Tumbler Ridge,1987,5 Rural Hub,1987,531
192,5314,Peace River South Rural,5314 Peace River South Rural,10162,6 Rural,10162,531
193,5321,Fort St John,5321 Fort St John,20155,4 Small Urban,20155,532
194,5322,Hudson's Hope,5322 Hudson's Hope,1015,6 Rural,1015,532
195,5323,Peace River North Rural,5323 Peace River North Rural,14351,6 Rural,14351,532
196,5331,Fort Nelson Population Centre,5331 Fort Nelson Population Centre,3796,5 Rural Hub,3796,533
197,5332,Northern Boreal,5332 Northern Boreal,1718,7 Remote,1718,533
198,4330,Vancouver Island West,4330 Vancouver Island West,1901,6 Rural,1901,433
199,3114,Thompson/Seafair,3114 Thompson/Seafair,32171,1 Metropolitan,32171,311
200,2322,Ladner,2322 Ladner,24822,4 Small Urban,24822,232
201,2312,Walnut Grove/Fort Langley,2312 Walnut Grove/Fort Langley,29587,1 Metropolitan,29587,231
202,2141,South Mission,2141 South Mission,26303,3 Medium Urban,26303,214
203,4232,Ladysmith Rural,4232 Ladysmith Rural,3676,6 Rural,3676,423
204,4341,Port Hardy/Port Alice,4341 Port Hardy/Port Alice,6456,5 Rural Hub,6456,434
205,5110,Snow Country,5110 Snow Country,421,7 Remote,421,511
206,2331,Whalley,2331 Whalley,53402,1 Metropolitan,53402,233
207,2243,Southeast Coquitlam,2243 Southeast Coquitlam,28129,1 Metropolitan,28129,224
208,3117,Gilmore/Shellmont/East/Hamilton,3117 Gilmore/Shellmont/East/Hamilton,20949,1 Metropolitan,20949,311
209,4313,Courtenay,4313 Courtenay,25160,3 Medium Urban,25160,431
210,1461,West Cariboo,1461 West Cariboo,2650,7 Remote,2650,146
211,3322,West Vancouver - Upper,3322 West Vancouver - Upper,25992,1 Metropolitan,25992,332
212,4343,Vancouver Island North Remote,4343 Vancouver Island North Remote,1758,7 Remote,1758,434
213,5180,Nisga'a,5180 Nisga'a,1880,7 Remote,1880,518
214,5247,Mackenzie,5247 Mackenzie,4413,5 Rural Hub,4413,524
215,4231,Ladysmith,4231 Ladysmith,8557,4 Small Urban,8557,423
216,3333,Sunshine Coast Rural,3333 Sunshine Coast Rural,10839,6 Rural,10839,333
217,5122,Prince Rupert Rural,5122 Prince Rupert Rural,1281,7 Remote,1281,512
218,4322,Campbell River Rural,4322 Campbell River Rural,9105,6 Rural,9105,432
