release_reference_id,release_project_reference,datacenter_reference,tag_device_id,release_reference_type,latitude,longitude,time,expected_enddate,manufacturer,tag_model,tag_serial_number,tag_coding_system,transmitted_id
,,,,,degrees_north,degrees_east,UTC,UTC,,,,,
GR-ST02,WRS,OTN-Global,V9-2X-1091885-A69-1303-48123,STATION,44.43351,-64.20316,2010-04-21T18:20:43Z,2010-06-22T18:18:38Z,VEMCO,V9-2X,1091885,A69-1303,48123
SMR-ST01,WRS,OTN-Global,V9-2X-1092157-A69-1303-48056,STATION,45.12417,-61.97775,2010-05-04T01:51:40Z,2010-06-23T22:05:52Z,VEMCO,V9-2X,1092157,A69-1303,48056
SMR-ST02,WRS,OTN-Global,V9-2X-1092158-A69-1303-48057,STATION,45.10567,-61.96656,2010-05-04T02:15:55Z,2010-06-23T21:18:03Z,VEMCO,V9-2X,1092158,A69-1303,48057
LR-ST01,WRS,OTN-Global,V9-2X-1092159-A69-1303-48058,STATION,44.36644,-64.48,2010-04-24T21:59:08Z,2010-06-15T22:52:23Z,VEMCO,V9-2X,1092159,A69-1303,48058
LR-ST02,WRS,OTN-Global,V9-2X-1092160-A69-1303-48059,STATION,44.24113,-64.30659,2010-04-23T18:29:18Z,2010-06-19T17:05:03Z,VEMCO,V9-2X,1092160,A69-1303,48059
WRSH-ST01,WRS,OTN-Global,V9-2X-1092554-A69-1303-48012,STATION,44.90864,-62.51151,2010-04-16T17:52:41Z,2010-06-17T20:01:19Z,VEMCO,V9-2X,1092554,A69-1303,48012
WRSH-ST02,WRS,OTN-Global,V9-2X-1092555-A69-1303-48013,STATION,44.86397,-62.48551,2010-04-29T22:53:38Z,2010-06-17T17:32:15Z,VEMCO,V9-2X,1092555,A69-1303,48013
WRS-10569,WRS,OTN-Global,10569,ANIMAL,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,V9-1L,1050442,A69-1303,10569
WRS-10568,WRS,OTN-Global,10568,ANIMAL,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,V9-1L,1050441,A69-1303,10568
WRS-10567,WRS,OTN-Global,10567,ANIMAL,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,V9-1L,1050440,A69-1303,10567
WRS-10566,WRS,OTN-Global,10566,ANIMAL,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,V9-1L,1050439,A69-1303,10566
WRS-10565,WRS,OTN-Global,10565,ANIMAL,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,V9-1L,1050438,A69-1303,10565
WRS-10564,WRS,OTN-Global,10564,ANIMAL,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,V9-1L,1050437,A69-1303,10564
WRS-10563,WRS,OTN-Global,10563,ANIMAL,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,V9-1L,1050436,A69-1303,10563
WRS-10562,WRS,OTN-Global,10562,ANIMAL,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,V9-1L,1050435,A69-1303,10562
WRS-10561,WRS,OTN-Global,10561,ANIMAL,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,V9-1L,1050434,A69-1303,10561
WRS-10560,WRS,OTN-Global,10560,ANIMAL,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,V9-1L,1050433,A69-1303,10560
WRS-10559,WRS,OTN-Global,10559,ANIMAL,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,V9-1L,1050432,A69-1303,10559
WRS-10558,WRS,OTN-Global,10558,ANIMAL,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,V9-1L,1050431,A69-1303,10558
WRS-10557,WRS,OTN-Global,10557,ANIMAL,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,V9-1L,1050430,A69-1303,10557
WRS-10556,WRS,OTN-Global,10556,ANIMAL,44.95838,-62.61541,2008-05-17T06:40:00Z,2008-10-21T06:40:00Z,VEMCO,V9-1L,1050429,A69-1303,10556
WRS-37288,WRS,OTN-Global,A69-1303-37288,ANIMAL,44.53123,-64.69637,2010-05-01T22:00:00Z,2010-10-05T22:00:00Z,VEMCO,V9-1L,1092866,A69-1303,37288
WRS-37287,WRS,OTN-Global,A69-1303-37287,ANIMAL,44.53123,-64.69637,2010-05-01T22:00:00Z,2010-10-05T22:00:00Z,VEMCO,V9-1L,1092865,A69-1303,37287
WRS-37286,WRS,OTN-Global,A69-1303-37286,ANIMAL,44.53123,-64.69637,2010-05-01T22:00:00Z,2010-10-05T22:00:00Z,VEMCO,V9-1L,1092864,A69-1303,37286
WRS-37285,WRS,OTN-Global,A69-1303-37285,ANIMAL,44.53123,-64.69637,2010-05-01T22:00:00Z,2010-10-05T22:00:00Z,VEMCO,V9-1L,1092863,A69-1303,37285
WRS-37284,WRS,OTN-Global,A69-1303-37284,ANIMAL,44.53123,-64.69637,2010-05-01T22:00:00Z,2010-10-05T22:00:00Z,VEMCO,V9-1L,1092862,A69-1303,37284
WRS-37258,WRS,OTN-Global,A69-1303-37258,ANIMAL,45.27966,-62.40404,2010-05-10T18:00:00Z,2010-10-14T18:00:00Z,VEMCO,V9-1L,1092558,A69-1303,37258
WRS-37257,WRS,OTN-Global,A69-1303-37257,ANIMAL,45.27966,-62.40404,2010-05-05T18:00:00Z,2010-10-09T18:00:00Z,VEMCO,V9-1L,1092557,A69-1303,37257
WRS-37256,WRS,OTN-Global,A69-1303-37256,ANIMAL,45.27966,-62.40404,2010-05-08T18:00:00Z,2010-10-12T18:00:00Z,VEMCO,V9-1L,1092556,A69-1303,37256
WRS-37053,WRS,OTN-Global,A69-1303-37053,ANIMAL,45.27966,-62.40404,2010-05-05T18:00:00Z,2010-10-09T18:00:00Z,VEMCO,V9-1L,1092313,A69-1303,37053
WRS-37052,WRS,OTN-Global,A69-1303-37052,ANIMAL,45.27966,-62.40404,2010-05-05T18:00:00Z,2010-10-09T18:00:00Z,VEMCO,V9-1L,1092312,A69-1303,37052
WRS-37051,WRS,OTN-Global,A69-1303-37051,ANIMAL,45.27966,-62.40404,2010-05-05T18:00:00Z,2010-10-09T18:00:00Z,VEMCO,V9-1L,1092311,A69-1303,37051
WRS-37050,WRS,OTN-Global,A69-1303-37050,ANIMAL,45.27966,-62.40404,2010-05-07T18:00:00Z,2010-10-11T18:00:00Z,VEMCO,V9-1L,1092310,A69-1303,37050
WRS-37049,WRS,OTN-Global,A69-1303-37049,ANIMAL,45.27966,-62.40404,2010-05-08T18:00:00Z,2010-10-12T18:00:00Z,VEMCO,V9-1L,1092309,A69-1303,37049
WRS-37048,WRS,OTN-Global,A69-1303-37048,ANIMAL,45.27966,-62.40404,2010-05-10T18:00:00Z,2010-10-14T18:00:00Z,VEMCO,V9-1L,1092308,A69-1303,37048
WRS-37047,WRS,OTN-Global,A69-1303-37047,ANIMAL,45.27966,-62.40404,2010-05-08T18:00:00Z,2010-10-12T18:00:00Z,VEMCO,V9-1L,1092307,A69-1303,37047
WRS-37046,WRS,OTN-Global,A69-1303-37046,ANIMAL,45.27966,-62.40404,2010-05-08T18:00:00Z,2010-10-12T18:00:00Z,VEMCO,V9-1L,1092306,A69-1303,37046
WRS-37045,WRS,OTN-Global,A69-1303-37045,ANIMAL,45.20477,-62.00862,2010-05-13T18:00:00Z,2010-10-17T18:00:00Z,VEMCO,V9-1L,1092305,A69-1303,37045
WRS-37039,WRS,OTN-Global,A69-1303-37039,ANIMAL,45.27966,-62.40404,2010-05-10T18:00:00Z,2010-10-14T18:00:00Z,VEMCO,V9-1L,1092299,A69-1303,37039
WRS-36912,WRS,OTN-Global,A69-1303-36912,ANIMAL,45.27966,-62.40404,2010-05-05T18:00:00Z,2010-10-09T18:00:00Z,VEMCO,V9-1L,1092154,A69-1303,36912
WRS-36911,WRS,OTN-Global,A69-1303-36911,ANIMAL,45.27966,-62.40404,2010-05-05T18:00:00Z,2010-10-09T18:00:00Z,VEMCO,V9-1L,1092153,A69-1303,36911
WRS-36910,WRS,OTN-Global,A69-1303-36910,ANIMAL,45.27966,-62.40404,2010-05-05T18:00:00Z,2010-10-09T18:00:00Z,VEMCO,V9-1L,1092152,A69-1303,36910
WRS-36909,WRS,OTN-Global,A69-1303-36909,ANIMAL,45.27966,-62.40404,2010-05-05T18:00:00Z,2010-10-09T18:00:00Z,VEMCO,V9-1L,1092151,A69-1303,36909
WRS-36908,WRS,OTN-Global,A69-1303-36908,ANIMAL,45.20477,-62.00862,2010-05-14T18:00:00Z,2010-10-18T18:00:00Z,VEMCO,V9-1L,1092150,A69-1303,36908
WRS-36907,WRS,OTN-Global,A69-1303-36907,ANIMAL,45.20477,-62.00862,2010-05-13T18:00:00Z,2010-10-17T18:00:00Z,VEMCO,V9-1L,1092149,A69-1303,36907
WRS-36906,WRS,OTN-Global,A69-1303-36906,ANIMAL,45.20477,-62.00862,2010-05-13T18:00:00Z,2010-10-17T18:00:00Z,VEMCO,V9-1L,1092148,A69-1303,36906
WRS-36905,WRS,OTN-Global,A69-1303-36905,ANIMAL,45.20477,-62.00862,2010-05-13T18:00:00Z,2010-10-17T18:00:00Z,VEMCO,V9-1L,1092147,A69-1303,36905
WRS-36904,WRS,OTN-Global,A69-1303-36904,ANIMAL,45.20477,-62.00862,2010-05-13T18:00:00Z,2010-10-17T18:00:00Z,VEMCO,V9-1L,1092146,A69-1303,36904
WRS-36903,WRS,OTN-Global,A69-1303-36903,ANIMAL,45.20477,-62.00862,2010-05-13T18:00:00Z,2010-10-17T18:00:00Z,VEMCO,V9-1L,1092145,A69-1303,36903
WRS-36902,WRS,OTN-Global,A69-1303-36902,ANIMAL,45.20477,-62.00862,2010-05-13T18:00:00Z,2010-10-17T18:00:00Z,VEMCO,V9-1L,1092144,A69-1303,36902
WRS-36901,WRS,OTN-Global,A69-1303-36901,ANIMAL,45.20477,-62.00862,2010-05-13T18:00:00Z,2010-10-17T18:00:00Z,VEMCO,V9-1L,1092143,A69-1303,36901
WRS-36900,WRS,OTN-Global,A69-1303-36900,ANIMAL,45.20477,-62.00862,2010-05-14T18:00:00Z,2010-10-18T18:00:00Z,VEMCO,V9-1L,1092142,A69-1303,36900
WRS-36899,WRS,OTN-Global,A69-1303-36899,ANIMAL,45.20477,-62.00862,2010-05-14T18:00:00Z,2010-10-18T18:00:00Z,VEMCO,V9-1L,1092141,A69-1303,36899
WRS-36898,WRS,OTN-Global,A69-1303-36898,ANIMAL,45.20477,-62.00862,2010-05-14T18:00:00Z,2010-10-18T18:00:00Z,VEMCO,V9-1L,1092140,A69-1303,36898
WRS-36897,WRS,OTN-Global,A69-1303-36897,ANIMAL,45.20477,-62.00862,2010-05-14T18:00:00Z,2010-10-18T18:00:00Z,VEMCO,V9-1L,1092139,A69-1303,36897
WRS-36896,WRS,OTN-Global,A69-1303-36896,ANIMAL,45.20477,-62.00862,2010-05-14T18:00:00Z,2010-10-18T18:00:00Z,VEMCO,V9-1L,1092138,A69-1303,36896
WRS-36895,WRS,OTN-Global,A69-1303-36895,ANIMAL,44.95369,-62.61061,2010-04-22T18:00:00Z,2010-09-26T18:00:00Z,VEMCO,V9-1L,1092137,A69-1303,36895
WRS-36894,WRS,OTN-Global,A69-1303-36894,ANIMAL,44.95369,-62.61061,2010-04-22T18:00:00Z,2010-09-26T18:00:00Z,VEMCO,V9-1L,1092136,A69-1303,36894
WRS-36893,WRS,OTN-Global,A69-1303-36893,ANIMAL,44.95369,-62.61061,2010-04-22T18:00:00Z,2010-09-26T18:00:00Z,VEMCO,V9-1L,1092135,A69-1303,36893
WRS-36892,WRS,OTN-Global,A69-1303-36892,ANIMAL,44.95369,-62.61061,2010-04-22T18:00:00Z,2010-09-26T18:00:00Z,VEMCO,V9-1L,1092134,A69-1303,36892
WRS-36891,WRS,OTN-Global,A69-1303-36891,ANIMAL,44.95369,-62.61061,2010-04-22T18:00:00Z,2010-09-26T18:00:00Z,VEMCO,V9-1L,1092133,A69-1303,36891
WRS-36890,WRS,OTN-Global,A69-1303-36890,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092132,A69-1303,36890
WRS-36889,WRS,OTN-Global,A69-1303-36889,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092131,A69-1303,36889
WRS-36888,WRS,OTN-Global,A69-1303-36888,ANIMAL,44.95369,-62.61061,2010-04-22T18:00:00Z,2010-09-26T18:00:00Z,VEMCO,V9-1L,1092130,A69-1303,36888
WRS-36887,WRS,OTN-Global,A69-1303-36887,ANIMAL,44.95369,-62.61061,2010-04-22T18:00:00Z,2010-09-26T18:00:00Z,VEMCO,V9-1L,1092129,A69-1303,36887
WRS-36886,WRS,OTN-Global,A69-1303-36886,ANIMAL,44.95369,-62.61061,2010-04-22T18:00:00Z,2010-09-26T18:00:00Z,VEMCO,V9-1L,1092128,A69-1303,36886
WRS-36885,WRS,OTN-Global,A69-1303-36885,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092127,A69-1303,36885
WRS-36884,WRS,OTN-Global,A69-1303-36884,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092126,A69-1303,36884
WRS-36883,WRS,OTN-Global,A69-1303-36883,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092125,A69-1303,36883
WRS-36882,WRS,OTN-Global,A69-1303-36882,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092124,A69-1303,36882
WRS-36881,WRS,OTN-Global,A69-1303-36881,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092123,A69-1303,36881
WRS-36880,WRS,OTN-Global,A69-1303-36880,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092122,A69-1303,36880
WRS-36879,WRS,OTN-Global,A69-1303-36879,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092121,A69-1303,36879
WRS-36878,WRS,OTN-Global,A69-1303-36878,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092120,A69-1303,36878
WRS-36877,WRS,OTN-Global,A69-1303-36877,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092119,A69-1303,36877
WRS-36876,WRS,OTN-Global,A69-1303-36876,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092118,A69-1303,36876
WRS-36875,WRS,OTN-Global,A69-1303-36875,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092117,A69-1303,36875
WRS-36874,WRS,OTN-Global,A69-1303-36874,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092116,A69-1303,36874
WRS-36873,WRS,OTN-Global,A69-1303-36873,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092115,A69-1303,36873
WRS-36872,WRS,OTN-Global,A69-1303-36872,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092114,A69-1303,36872
WRS-36871,WRS,OTN-Global,A69-1303-36871,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092113,A69-1303,36871
WRS-36870,WRS,OTN-Global,A69-1303-36870,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092112,A69-1303,36870
WRS-36869,WRS,OTN-Global,A69-1303-36869,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092111,A69-1303,36869
WRS-36868,WRS,OTN-Global,A69-1303-36868,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092110,A69-1303,36868
WRS-36867,WRS,OTN-Global,A69-1303-36867,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092109,A69-1303,36867
WRS-36866,WRS,OTN-Global,A69-1303-36866,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092108,A69-1303,36866
WRS-36865,WRS,OTN-Global,A69-1303-36865,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092107,A69-1303,36865
WRS-36864,WRS,OTN-Global,A69-1303-36864,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092106,A69-1303,36864
WRS-36863,WRS,OTN-Global,A69-1303-36863,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092105,A69-1303,36863
WRS-36862,WRS,OTN-Global,A69-1303-36862,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092104,A69-1303,36862
WRS-36861,WRS,OTN-Global,A69-1303-36861,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092103,A69-1303,36861
WRS-36740,WRS,OTN-Global,A69-1303-36740,ANIMAL,44.53123,-64.69637,2010-04-22T18:00:00Z,2010-09-26T18:00:00Z,VEMCO,V9-1L,1091883,A69-1303,36740
WRS-36739,WRS,OTN-Global,A69-1303-36739,ANIMAL,44.53123,-64.69637,2010-04-22T18:00:00Z,2010-09-26T18:00:00Z,VEMCO,V9-1L,1091882,A69-1303,36739
WRS-36738,WRS,OTN-Global,A69-1303-36738,ANIMAL,44.53123,-64.69637,2010-04-22T18:00:00Z,2010-09-26T18:00:00Z,VEMCO,V9-1L,1091881,A69-1303,36738
WRS-36737,WRS,OTN-Global,A69-1303-36737,ANIMAL,44.53123,-64.69637,2010-04-22T18:00:00Z,2010-09-26T18:00:00Z,VEMCO,V9-1L,1091880,A69-1303,36737
WRS-36736,WRS,OTN-Global,A69-1303-36736,ANIMAL,44.56726,-64.33425,2010-04-29T13:55:12Z,2010-10-03T13:55:12Z,VEMCO,V9-1L,1091879,A69-1303,36736
WRS-36735,WRS,OTN-Global,A69-1303-36735,ANIMAL,44.56726,-64.33425,2010-04-29T13:55:12Z,2010-10-03T13:55:12Z,VEMCO,V9-1L,1091878,A69-1303,36735
WRS-36734,WRS,OTN-Global,A69-1303-36734,ANIMAL,44.56726,-64.33425,2010-04-29T13:55:12Z,2010-10-03T13:55:12Z,VEMCO,V9-1L,1091877,A69-1303,36734
WRS-36733,WRS,OTN-Global,A69-1303-36733,ANIMAL,44.56726,-64.33425,2010-04-29T13:55:12Z,2010-10-03T13:55:12Z,VEMCO,V9-1L,1091876,A69-1303,36733
WRS-36732,WRS,OTN-Global,A69-1303-36732,ANIMAL,44.56726,-64.33425,2010-04-29T13:55:12Z,2010-10-03T13:55:12Z,VEMCO,V9-1L,1091875,A69-1303,36732
WRS-36731,WRS,OTN-Global,A69-1303-36731,ANIMAL,44.53123,-64.69637,2010-04-22T18:00:00Z,2010-09-26T18:00:00Z,VEMCO,V9-1L,1091874,A69-1303,36731
WRS-36730,WRS,OTN-Global,A69-1303-36730,ANIMAL,44.56726,-64.33425,2010-04-29T13:55:12Z,2010-10-03T13:55:12Z,VEMCO,V9-1L,1091873,A69-1303,36730
WRS-36729,WRS,OTN-Global,A69-1303-36729,ANIMAL,44.56726,-64.33425,2010-04-29T13:55:12Z,2010-10-03T13:55:12Z,VEMCO,V9-1L,1091872,A69-1303,36729
WRS-36728,WRS,OTN-Global,A69-1303-36728,ANIMAL,44.56726,-64.33425,2010-04-29T13:55:12Z,2010-10-03T13:55:12Z,VEMCO,V9-1L,1091871,A69-1303,36728
WRS-36727,WRS,OTN-Global,A69-1303-36727,ANIMAL,44.56726,-64.33425,2010-04-29T13:55:12Z,2010-10-03T13:55:12Z,VEMCO,V9-1L,1091870,A69-1303,36727
WRS-36726,WRS,OTN-Global,A69-1303-36726,ANIMAL,44.56726,-64.33425,2010-04-29T13:55:12Z,2010-10-03T13:55:12Z,VEMCO,V9-1L,1091869,A69-1303,36726
WRS-36725,WRS,OTN-Global,A69-1303-36725,ANIMAL,44.56726,-64.33425,2010-04-29T13:55:12Z,2010-10-03T13:55:12Z,VEMCO,V9-1L,1091868,A69-1303,36725
WRS-36724,WRS,OTN-Global,A69-1303-36724,ANIMAL,44.56726,-64.33425,2010-05-02T18:00:00Z,2010-10-06T18:00:00Z,VEMCO,V9-1L,1091867,A69-1303,36724
WRS-36723,WRS,OTN-Global,A69-1303-36723,ANIMAL,44.56726,-64.33425,2010-05-02T18:00:00Z,2010-10-06T18:00:00Z,VEMCO,V9-1L,1091866,A69-1303,36723
WRS-36722,WRS,OTN-Global,A69-1303-36722,ANIMAL,44.56726,-64.33425,2010-05-02T18:00:00Z,2010-10-06T18:00:00Z,VEMCO,V9-1L,1091865,A69-1303,36722
WRS-36721,WRS,OTN-Global,A69-1303-36721,ANIMAL,44.56726,-64.33425,2010-04-29T13:55:12Z,2010-10-03T13:55:12Z,VEMCO,V9-1L,1091864,A69-1303,36721
WRS-36720,WRS,OTN-Global,A69-1303-36720,ANIMAL,44.56726,-64.33425,2010-04-29T13:55:12Z,2010-10-03T13:55:12Z,VEMCO,V9-1L,1091863,A69-1303,36720
WRS-36719,WRS,OTN-Global,A69-1303-36719,ANIMAL,44.56726,-64.33425,2010-04-29T13:55:12Z,2010-10-03T13:55:12Z,VEMCO,V9-1L,1091862,A69-1303,36719
WRS-36718,WRS,OTN-Global,A69-1303-36718,ANIMAL,44.56726,-64.33425,2010-05-02T18:00:00Z,2010-10-06T18:00:00Z,VEMCO,V9-1L,1091861,A69-1303,36718
WRS-36717,WRS,OTN-Global,A69-1303-36717,ANIMAL,44.56726,-64.33425,2010-05-02T18:00:00Z,2010-10-06T18:00:00Z,VEMCO,V9-1L,1091860,A69-1303,36717
WRS-36716,WRS,OTN-Global,A69-1303-36716,ANIMAL,44.56726,-64.33425,2010-05-02T18:00:00Z,2010-10-06T18:00:00Z,VEMCO,V9-1L,1091859,A69-1303,36716
WRS-36715,WRS,OTN-Global,A69-1303-36715,ANIMAL,44.56726,-64.33425,2010-05-02T18:00:00Z,2010-10-06T18:00:00Z,VEMCO,V9-1L,1091858,A69-1303,36715
WRS-36714,WRS,OTN-Global,A69-1303-36714,ANIMAL,44.56726,-64.33425,2010-05-02T18:00:00Z,2010-10-06T18:00:00Z,VEMCO,V9-1L,1091857,A69-1303,36714
WRS-36713,WRS,OTN-Global,A69-1303-36713,ANIMAL,44.56726,-64.33425,2010-05-02T18:00:00Z,2010-10-06T18:00:00Z,VEMCO,V9-1L,1091856,A69-1303,36713
WRS-36712,WRS,OTN-Global,A69-1303-36712,ANIMAL,44.56726,-64.33425,2010-05-06T13:55:12Z,2010-10-10T13:55:12Z,VEMCO,V9-1L,1091855,A69-1303,36712
WRS-36711,WRS,OTN-Global,A69-1303-36711,ANIMAL,44.56726,-64.33425,2010-05-02T18:00:00Z,2010-10-06T18:00:00Z,VEMCO,V9-1L,1091854,A69-1303,36711
WRS-36710,WRS,OTN-Global,A69-1303-36710,ANIMAL,44.56726,-64.33425,2010-05-02T18:00:00Z,2010-10-06T18:00:00Z,VEMCO,V9-1L,1091853,A69-1303,36710
WRS-36709,WRS,OTN-Global,A69-1303-36709,ANIMAL,44.56726,-64.33425,2010-05-02T18:00:00Z,2010-10-06T18:00:00Z,VEMCO,V9-1L,1091852,A69-1303,36709
WRS-36708,WRS,OTN-Global,A69-1303-36708,ANIMAL,44.56726,-64.33425,2010-05-02T18:00:00Z,2010-10-06T18:00:00Z,VEMCO,V9-1L,1091851,A69-1303,36708
WRS-36707,WRS,OTN-Global,A69-1303-36707,ANIMAL,44.56726,-64.33425,2010-05-02T18:00:00Z,2010-10-06T18:00:00Z,VEMCO,V9-1L,1091850,A69-1303,36707
WRS-36706,WRS,OTN-Global,A69-1303-36706,ANIMAL,44.56726,-64.33425,2010-05-02T18:00:00Z,2010-10-06T18:00:00Z,VEMCO,V9-1L,1091849,A69-1303,36706
WRS-36705,WRS,OTN-Global,A69-1303-36705,ANIMAL,44.56726,-64.33425,2010-05-02T18:00:00Z,2010-10-06T18:00:00Z,VEMCO,V9-1L,1091848,A69-1303,36705
WRS-36704,WRS,OTN-Global,A69-1303-36704,ANIMAL,44.56726,-64.33425,2010-05-02T18:00:00Z,2010-10-06T18:00:00Z,VEMCO,V9-1L,1091847,A69-1303,36704
WRS-36703,WRS,OTN-Global,A69-1303-36703,ANIMAL,44.56726,-64.33425,2010-05-02T18:00:00Z,2010-10-06T18:00:00Z,VEMCO,V9-1L,1091846,A69-1303,36703
WRS-36702,WRS,OTN-Global,A69-1303-36702,ANIMAL,44.56726,-64.33425,2010-05-02T18:00:00Z,2010-10-06T18:00:00Z,VEMCO,V9-1L,1091845,A69-1303,36702
WRS-36701,WRS,OTN-Global,A69-1303-36701,ANIMAL,44.56726,-64.33425,2010-05-02T18:00:00Z,2010-10-06T18:00:00Z,VEMCO,V9-1L,1091844,A69-1303,36701
WRS-29662,WRS,OTN-Global,A69-1303-29662,ANIMAL,44.53123,-64.69637,2010-04-22T18:00:00Z,2010-09-26T18:00:00Z,VEMCO,V9-1L,1087433,A69-1303,29662
WRS-29661,WRS,OTN-Global,A69-1303-29661,ANIMAL,44.53123,-64.69637,2010-04-22T18:00:00Z,2010-09-26T18:00:00Z,VEMCO,V9-1L,1087432,A69-1303,29661
WRS-29660,WRS,OTN-Global,A69-1303-29660,ANIMAL,44.53123,-64.69637,2010-04-22T18:00:00Z,2010-09-26T18:00:00Z,VEMCO,V9-1L,1087431,A69-1303,29660
WRS-29659,WRS,OTN-Global,A69-1303-29659,ANIMAL,44.53123,-64.69637,2010-04-22T18:00:00Z,2010-09-26T18:00:00Z,VEMCO,V9-1L,1087430,A69-1303,29659
WRS-29657,WRS,OTN-Global,A69-1303-29657,ANIMAL,44.53123,-64.69637,2010-04-22T18:00:00Z,2010-09-26T18:00:00Z,VEMCO,V9-1L,1087429,A69-1303,29657
WRS-29656,WRS,OTN-Global,A69-1303-29656,ANIMAL,44.53123,-64.69637,2010-04-22T18:00:00Z,2010-09-26T18:00:00Z,VEMCO,V9-1L,1087428,A69-1303,29656
WRS-29655,WRS,OTN-Global,A69-1303-29655,ANIMAL,44.53123,-64.69637,2010-05-01T22:00:00Z,2010-10-05T22:00:00Z,VEMCO,V9-1L,1087427,A69-1303,29655
WRS-29654,WRS,OTN-Global,A69-1303-29654,ANIMAL,44.53123,-64.69637,2010-04-22T18:00:00Z,2010-09-26T18:00:00Z,VEMCO,V9-1L,1087426,A69-1303,29654
