release_reference_id,release_project_reference,datacenter_reference,tag_device_id,release_reference_type,latitude,longitude,time,expected_enddate,manufacturer,tag_model,tag_serial_number,tag_coding_system,transmitted_id
,,,,,degrees_north,degrees_east,UTC,UTC,,,,,
MACFL-15237,MACFL,nep,A69-1303-30604,ANIMAL,38.581239,-121.507286,2008-12-01T12:00:00Z,2009-02-09T12:00:00Z,VEMCO,V7,1062337,A69-1303,30604
MACFL-15238,MACFL,nep,A69-1303-30605,ANIMAL,38.581239,-121.507286,2008-12-01T12:00:00Z,2009-02-09T12:00:00Z,VEMCO,V7,1062338,A69-1303,30605
MACFL-15239,MACFL,nep,A69-1303-30603,ANIMAL,38.581239,-121.507286,2008-12-01T12:00:00Z,2009-02-09T12:00:00Z,VEMCO,V7,1062336,A69-1303,30603
MACFL-15240,MACFL,nep,A69-1303-30602,ANIMAL,38.581239,-121.507286,2008-12-01T12:00:00Z,2009-02-09T12:00:00Z,VEMCO,V7,1062335,A69-1303,30602
MACFL-15241,MACFL,nep,A69-1303-30607,ANIMAL,38.210979,-121.536976,2008-12-02T13:01:00Z,2009-02-10T13:01:00Z,VEMCO,V7,1062340,A69-1303,30607
MACFL-15242,MACFL,nep,A69-1303-30606,ANIMAL,38.210979,-121.536976,2008-12-02T13:01:00Z,2009-02-10T13:01:00Z,VEMCO,V7,1062339,A69-1303,30606
MACFL-15243,MACFL,nep,A69-1303-30608,ANIMAL,38.210979,-121.536976,2008-12-02T13:57:00Z,2009-02-10T13:57:00Z,VEMCO,V7,1062341,A69-1303,30608
MACFL-15244,MACFL,nep,A69-1303-30609,ANIMAL,38.210979,-121.536976,2008-12-02T13:57:00Z,2009-02-10T13:57:00Z,VEMCO,V7,1062342,A69-1303,30609
MACFL-15245,MACFL,nep,A69-1303-30611,ANIMAL,38.210979,-121.536976,2008-12-02T15:00:00Z,2009-02-10T15:00:00Z,VEMCO,V7,1062344,A69-1303,30611
MACFL-15246,MACFL,nep,A69-1303-30612,ANIMAL,38.210979,-121.536976,2008-12-02T15:00:00Z,2009-02-10T15:00:00Z,VEMCO,V7,1062345,A69-1303,30612
MACFL-15247,MACFL,nep,A69-1303-30614,ANIMAL,38.210979,-121.536976,2008-12-02T16:00:00Z,2009-02-10T16:00:00Z,VEMCO,V7,1062347,A69-1303,30614
MACFL-15248,MACFL,nep,A69-1303-30613,ANIMAL,38.210979,-121.536976,2008-12-02T16:00:00Z,2009-02-10T16:00:00Z,VEMCO,V7,1062346,A69-1303,30613
MACFL-15249,MACFL,nep,A69-1303-30617,ANIMAL,38.210979,-121.536976,2008-12-02T17:00:00Z,2009-02-10T17:00:00Z,VEMCO,V7,1062350,A69-1303,30617
MACFL-15250,MACFL,nep,A69-1303-30616,ANIMAL,38.210979,-121.536976,2008-12-02T17:00:00Z,2009-02-10T17:00:00Z,VEMCO,V7,1062349,A69-1303,30616
MACFL-15251,MACFL,nep,A69-1303-30618,ANIMAL,38.210979,-121.536976,2008-12-02T17:59:00Z,2009-02-10T17:59:00Z,VEMCO,V7,1062351,A69-1303,30618
MACFL-15252,MACFL,nep,A69-1303-30619,ANIMAL,38.210979,-121.536976,2008-12-02T17:59:00Z,2009-02-10T17:59:00Z,VEMCO,V7,1062352,A69-1303,30619
MACFL-15253,MACFL,nep,A69-1303-30620,ANIMAL,38.210979,-121.536976,2008-12-02T18:59:00Z,2009-02-10T18:59:00Z,VEMCO,V7,1062353,A69-1303,30620
MACFL-15254,MACFL,nep,A69-1303-30621,ANIMAL,38.210979,-121.536976,2008-12-02T18:59:00Z,2009-02-10T18:59:00Z,VEMCO,V7,1062354,A69-1303,30621
MACFL-15255,MACFL,nep,A69-1303-30622,ANIMAL,38.210979,-121.536976,2008-12-02T20:00:00Z,2009-02-10T20:00:00Z,VEMCO,V7,1062355,A69-1303,30622
MACFL-15256,MACFL,nep,A69-1303-30623,ANIMAL,38.210979,-121.536976,2008-12-02T20:00:00Z,2009-02-10T20:00:00Z,VEMCO,V7,1062356,A69-1303,30623
MACFL-15257,MACFL,nep,A69-1303-30624,ANIMAL,38.210979,-121.536976,2008-12-02T21:06:00Z,2009-02-10T21:06:00Z,VEMCO,V7,1062357,A69-1303,30624
MACFL-15258,MACFL,nep,A69-1303-30625,ANIMAL,38.210979,-121.536976,2008-12-02T21:06:00Z,2009-02-10T21:06:00Z,VEMCO,V7,1062358,A69-1303,30625
MACFL-15259,MACFL,nep,A69-1303-30627,ANIMAL,38.210979,-121.536976,2008-12-02T22:00:00Z,2009-02-10T22:00:00Z,VEMCO,V7,1062360,A69-1303,30627
MACFL-15260,MACFL,nep,A69-1303-30626,ANIMAL,38.210979,-121.536976,2008-12-02T22:00:00Z,2009-02-10T22:00:00Z,VEMCO,V7,1062359,A69-1303,30626
MACFL-15261,MACFL,nep,A69-1303-30630,ANIMAL,38.210979,-121.536976,2008-12-02T23:02:00Z,2009-02-10T23:02:00Z,VEMCO,V7,1062363,A69-1303,30630
MACFL-15262,MACFL,nep,A69-1303-30631,ANIMAL,38.210979,-121.536976,2008-12-02T23:02:00Z,2009-02-10T23:02:00Z,VEMCO,V7,1062364,A69-1303,30631
MACFL-15263,MACFL,nep,A69-1303-30632,ANIMAL,38.210979,-121.536976,2008-12-03T00:00:00Z,2009-02-11T00:00:00Z,VEMCO,V7,1062365,A69-1303,30632
MACFL-15264,MACFL,nep,A69-1303-30633,ANIMAL,38.210979,-121.536976,2008-12-03T00:00:00Z,2009-02-11T00:00:00Z,VEMCO,V7,1062366,A69-1303,30633
MACFL-15265,MACFL,nep,A69-1303-30634,ANIMAL,38.210979,-121.536976,2008-12-03T01:01:00Z,2009-02-11T01:01:00Z,VEMCO,V7,1062367,A69-1303,30634
MACFL-15266,MACFL,nep,A69-1303-30635,ANIMAL,38.210979,-121.536976,2008-12-03T01:01:00Z,2009-02-11T01:01:00Z,VEMCO,V7,1062368,A69-1303,30635
MACFL-15267,MACFL,nep,A69-1303-30636,ANIMAL,38.210979,-121.536976,2008-12-03T02:01:00Z,2009-02-11T02:01:00Z,VEMCO,V7,1062369,A69-1303,30636
MACFL-15268,MACFL,nep,A69-1303-30637,ANIMAL,38.210979,-121.536976,2008-12-03T02:01:00Z,2009-02-11T02:01:00Z,VEMCO,V7,1062370,A69-1303,30637
MACFL-15269,MACFL,nep,A69-1303-30638,ANIMAL,38.210979,-121.536976,2008-12-03T03:02:00Z,2009-02-11T03:02:00Z,VEMCO,V7,1062371,A69-1303,30638
MACFL-15270,MACFL,nep,A69-1303-30639,ANIMAL,38.210979,-121.536976,2008-12-03T03:02:00Z,2009-02-11T03:02:00Z,VEMCO,V7,1062372,A69-1303,30639
MACFL-15271,MACFL,nep,A69-1303-30640,ANIMAL,38.210979,-121.536976,2008-12-03T04:03:00Z,2009-02-11T04:03:00Z,VEMCO,V7,1062373,A69-1303,30640
MACFL-15272,MACFL,nep,A69-1303-30641,ANIMAL,38.210979,-121.536976,2008-12-03T04:03:00Z,2009-02-11T04:03:00Z,VEMCO,V7,1062374,A69-1303,30641
MACFL-15273,MACFL,nep,A69-1303-30643,ANIMAL,38.210979,-121.536976,2008-12-03T05:00:00Z,2009-02-11T05:00:00Z,VEMCO,V7,1062376,A69-1303,30643
MACFL-15274,MACFL,nep,A69-1303-30645,ANIMAL,38.210979,-121.536976,2008-12-03T05:00:00Z,2009-02-11T05:00:00Z,VEMCO,V7,1062378,A69-1303,30645
