deployment_id,deployment_project_reference,datacenter_reference,receiver_manufacturer,receiver_model,receiver_serial_number,latitude,longitude,time,recovery_datetime_utc,array_name,receiver_reference_type,receiver_reference_id,bottom_depth,depth,deployment_comments
,,,,,,degrees_north,degrees_east,UTC,UTC,,,,m,m,
RBVPS1-VR2W-180-300774-2,ALS,OTN-Global,VEMCO,VR2W-180,VR2W-300774,74.68965,-94.85699,2013-08-12T19:29:00Z,2013-08-22T22:05:00Z,ALS,ManmadePlatform,ALS_RBVPS1,23,20,NOT GIVEN 
RB14-VR2W-180-300604-2,ALS,OTN-Global,VEMCO,VR2W-180,VR2W-300604,74.67994,-94.87189,2013-08-12T20:20:00Z,,ALS,ManmadePlatform,ALS_RB14,19,16,NOT GIVEN 
RBVPS4-VR2W-180-300615-2,ALS,OTN-Global,VEMCO,VR2W-180,VR2W-300615,74.68683,-94.86711,2013-08-12T20:35:00Z,2013-08-22T22:01:00Z,ALS,ManmadePlatform,ALS_RBVPS4,21,18,NOT GIVEN 
RBVPS8-VR2W-180-300784-2,ALS,OTN-Global,VEMCO,VR2W-180,VR2W-300784,74.68548,-94.86709,2013-08-12T20:41:00Z,2013-08-22T21:47:00Z,ALS,ManmadePlatform,ALS_RBVPS8,22,19,NOT GIVEN 
RBVPS9-VR2W-180-300765-2,ALS,OTN-Global,VEMCO,VR2W-180,VR2W-300765,74.68551,-94.8568,2013-08-12T21:11:00Z,2013-08-22T21:44:00Z,ALS,ManmadePlatform,ALS_RBVPS9,26,23,NOT GIVEN 
RB18-VR2W-180-300768-2,ALS,OTN-Global,VEMCO,VR2W-180,VR2W-300768,74.68004,-94.83094,2013-08-12T21:28:00Z,2013-08-30T19:45:00Z,ALS,ManmadePlatform,ALS_RB18,16,13,NOT GIVEN 
RB20-VR2W-180-300775-2,ALS,OTN-Global,VEMCO,VR2W-180,VR2W-300775,74.67718,-94.86147,2013-08-12T21:53:00Z,2013-08-30T22:12:00Z,ALS,ManmadePlatform,ALS_RB20,13,10,NOT GIVEN 
RB19-VR2W-180-300785-2,ALS,OTN-Global,VEMCO,VR2W-180,VR2W-300785,74.67716,-94.87163,2013-08-12T21:57:00Z,2013-08-30T22:17:00Z,ALS,ManmadePlatform,ALS_RB19,16,13,NOT GIVEN 
RB25-VR2W-180-300778-2,ALS,OTN-Global,VEMCO,VR2W-180,VR2W-300778,74.67444,-94.87147,2013-08-12T22:20:00Z,2013-08-22T21:07:00Z,ALS,ManmadePlatform,ALS_RB25,13,10,NOT GIVEN 
RB30-VR2W-180-300771-2,ALS,OTN-Global,VEMCO,VR2W-180,VR2W-300771,74.67457,-94.82048,2013-08-12T22:56:00Z,2013-08-22T21:26:00Z,ALS,ManmadePlatform,ALS_RB30,20,17,NOT GIVEN 
RB24-VR2W-180-300582-2,ALS,OTN-Global,VEMCO,VR2W-180,VR2W-300582,74.67728,-94.82061,2013-08-12T23:01:00Z,2013-08-30T22:09:00Z,ALS,ManmadePlatform,ALS_RB24,17,14,NOT GIVEN 
RB23-VR2W-180-300600-2,ALS,OTN-Global,VEMCO,VR2W-180,VR2W-300600,74.67726,-94.83083,2013-08-12T23:08:00Z,,ALS,ManmadePlatform,ALS_RB23,26,23,NOT GIVEN 
RB29-VR2W-180-300787-2,ALS,OTN-Global,VEMCO,VR2W-180,VR2W-300787,74.67455,-94.83072,2013-08-12T23:13:00Z,2013-08-22T21:20:00Z,ALS,ManmadePlatform,ALS_RB29,20,17,NOT GIVEN 
RB26-VR2W-180-300783-2,ALS,OTN-Global,VEMCO,VR2W-180,VR2W-300783,74.67447,-94.86135,2013-08-12T23:24:00Z,2013-08-22T21:12:00Z,ALS,ManmadePlatform,ALS_RB26,15,12,NOT GIVEN 
RB7-Battery Pack-159-2,ALS,OTN-Global,VEMCO,Battery Pack,159,74.68548768,-94.86194267,2013-08-18T20:17:00Z,2014-08-21T13:06:00Z,ALS,ManmadePlatform,ALS_RB7,25,22,NOT GIVEN 
RB36-VR2W-180-300601-2,ALS,OTN-Global,VEMCO,VR2W-180,VR2W-300601,74.67175,-94.8204,2013-08-06T01:55:00Z,2013-08-22T20:31:00Z,ALS,ManmadePlatform,ALS_RB36,20,17,NOT GIVEN 
RB13-VR2W-180-300606-2,ALS,OTN-Global,VEMCO,VR2W-180,VR2W-300606,74.68281,-94.84127,2013-08-06T03:12:00Z,,ALS,ManmadePlatform,ALS_RB13,23,20,NOT GIVEN 
RB9-VR2W-180-300596-2,ALS,OTN-Global,VEMCO,VR2W-180,VR2W-300596,74.68553,-94.84139,2013-08-06T03:25:00Z,2013-08-30T21:00:00Z,ALS,ManmadePlatform,ALS_RB9,15,12,NOT GIVEN 
RBVPS7-VR2W-180-300973-2,ALS,OTN-Global,VEMCO,VR2W-180,VR2W-300973,74.68691,-94.85176,2013-08-06T03:31:00Z,2013-08-22T21:53:00Z,ALS,ManmadePlatform,ALS_RBVPS7,23,20,NOT GIVEN 
RBVPS6-VR2W-180-300789-2,ALS,OTN-Global,VEMCO,VR2W-180,VR2W-300789,74.6869,-94.85674,2013-08-06T04:17:00Z,2013-08-22T21:57:00Z,ALS,ManmadePlatform,ALS_RBVPS6,25,22,NOT GIVEN 
RB42-VR2W-180-300801-2,ALS,OTN-Global,VEMCO,VR2W-180,VR2W-300801,74.66899,-94.82024,2013-08-09T01:04:00Z,2013-08-30T21:11:00Z,ALS,ManmadePlatform,ALS_RB42,21,18,NOT GIVEN 
RB41-VR2W-180-300790-2,ALS,OTN-Global,VEMCO,VR2W-180,VR2W-300790,74.66895,-94.83046,2013-08-09T01:11:00Z,2013-08-30T21:05:00Z,ALS,ManmadePlatform,ALS_RB41,20,17,NOT GIVEN 
RB40-VR2W-180-300776-2,ALS,OTN-Global,VEMCO,VR2W-180,VR2W-300776,74.66894,-94.84069,2013-08-09T01:15:00Z,2013-08-30T20:22:00Z,ALS,ManmadePlatform,ALS_RB40,14,11,NOT GIVEN 
RB35-VR2W-180-300786-2,ALS,OTN-Global,VEMCO,VR2W-180,VR2W-300786,74.67173,-94.83064,2013-08-09T01:46:00Z,2013-08-22T20:37:00Z,ALS,ManmadePlatform,ALS_RB35,16,13,NOT GIVEN 
RB34-VR2W-180-300782-2,ALS,OTN-Global,VEMCO,VR2W-180,VR2W-300782,74.67171,-94.84087,2013-08-09T01:52:00Z,2013-08-22T20:41:00Z,ALS,ManmadePlatform,ALS_RB34,13,10,NOT GIVEN 
RB33-VR2W-180-300614-2,ALS,OTN-Global,VEMCO,VR2W-180,VR2W-300614,74.67167,-94.85102,2013-08-09T02:00:00Z,2013-08-22T20:46:00Z,ALS,ManmadePlatform,ALS_RB33,15,12,NOT GIVEN 
RB37-VR2W-180-300609-2,ALS,OTN-Global,VEMCO,VR2W-180,VR2W-300609,74.66887,-94.87113,2013-08-09T03:05:00Z,2013-08-30T19:30:00Z,ALS,ManmadePlatform,ALS_RB37,9,6,NOT GIVEN 
