platform_reference_id,platform_project_reference,datacenter_reference,platform_type,platform_depth,platform_name,latitude,longitude
,,,,,,degrees_north,degrees_east
S. Portage 2-2015,ASF,OTN-Global,Underwater mooring,9,S. Portage 2-2015,47.14215,-65.04465
S. Portage 3-2015,ASF,OTN-Global,Underwater mooring,11,S. Portage 3-2015,47.1414,-65.0392
SW Mir 1-2015,ASF,OTN-Global,Underwater mooring,135.26,SW Mir 1-2015,46.47446,-66.40185
SW Mir 2-2015,ASF,OTN-Global,Underwater mooring,135.26,SW Mir 2-2015,46.54781,-66.15697
SW Mir 3 Black Brook-2015,ASF,OTN-Global,Underwater mooring,135.26,SW Mir 3 Black Brook-2015,46.670442,-65.775455
ASF-Chaleur Bay 1-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Chaleur Bay 1-2004,47.824,-65.1825
ASF-Cassilis 1-2003,ASF,OTN-Global,Underwater mooring,135.26,ASF-Cassilis 1-2003,46.7667,-66.0833
SBX006,ASF,OTN-Global,Underwater mooring,135.26,SBX006,51.39995,-56.65771
ASF-Cassilis 2-2003,ASF,OTN-Global,Underwater mooring,135.26,ASF-Cassilis 2-2003,46.7667,-66.0833
ASF-Cassilis 3-2003,ASF,OTN-Global,Underwater mooring,135.26,ASF-Cassilis 3-2003,46.7667,-66.0833
SBX007,ASF,OTN-Global,Underwater mooring,135.26,SBX007,51.40462,-56.66613
ASF-Cassilis 4-2003,ASF,OTN-Global,Underwater mooring,135.26,ASF-Cassilis 4-2003,46.7667,-66.0833
SOBI002,ASF,OTN-Global,Underwater mooring,135.26,SOBI002,51.38194,-56.62358
SOBI001,ASF,OTN-Global,Underwater mooring,135.26,SOBI001,51.37792,-56.60967
SOBI003,ASF,OTN-Global,Underwater mooring,135.26,SOBI003,51.38608,-56.63622
SOBI004,ASF,OTN-Global,Underwater mooring,135.26,SOBI004,51.39072,-56.64817
SOBI005,ASF,OTN-Global,Underwater mooring,135.26,SOBI005,51.39614,-56.65983
SOBI006,ASF,OTN-Global,Underwater mooring,135.26,SOBI006,51.40233,-56.66989
SOBI007,ASF,OTN-Global,Underwater mooring,135.26,SOBI007,51.40878,-56.67975
SOBI008,ASF,OTN-Global,Underwater mooring,135.26,SOBI008,51.41467,-56.69031
SOBI009,ASF,OTN-Global,Underwater mooring,135.26,SOBI009,51.42136,-56.6995
SOBI010,ASF,OTN-Global,Underwater mooring,135.26,SOBI010,51.42853,-56.70939
SOBI011,ASF,OTN-Global,Underwater mooring,135.26,SOBI011,51.43569,-56.71814
SOBI012,ASF,OTN-Global,Underwater mooring,135.26,SOBI012,51.44275,-56.728
SOBI013,ASF,OTN-Global,Underwater mooring,135.26,SOBI013,51.45033,-56.73633
SOBI014,ASF,OTN-Global,Underwater mooring,135.26,SOBI014,51.45733,-56.74561
SOBI015,ASF,OTN-Global,Underwater mooring,135.26,SOBI015,51.46494,-56.75386
SOBI016,ASF,OTN-Global,Underwater mooring,135.26,SOBI016,51.47219,-56.76217
SOBI017,ASF,OTN-Global,Underwater mooring,135.26,SOBI017,51.47878,-56.77156
SOBI018,ASF,OTN-Global,Underwater mooring,135.26,SOBI018,51.48375,-56.78253
SOBI019,ASF,OTN-Global,Underwater mooring,135.26,SOBI019,51.48861,-56.79361
SOBI020,ASF,OTN-Global,Underwater mooring,135.26,SOBI020,51.48747,-56.80161
SOBI021,ASF,OTN-Global,Underwater mooring,135.26,SOBI021,51.49064,-56.80906
SOBI022,ASF,OTN-Global,Underwater mooring,135.26,SOBI022,51.48936,-56.81408
SBX-WHARF,ASF,OTN-Global,Underwater mooring,2,SBX-WHARF,51.3843,-56.57963
SBX019,ASF,OTN-Global,Underwater mooring,135.26,SBX019,51.46063,-56.76723
SBX020,ASF,OTN-Global,Underwater mooring,135.26,SBX020,51.46529,-56.77566
SBX001,ASF,OTN-Global,Underwater mooring,135.26,SBX001,51.37662,-56.61558
SBX025,ASF,OTN-Global,Underwater mooring,135.26,SBX025,51.47929,-56.80093
SBX026,ASF,OTN-Global,Underwater mooring,135.26,SBX026,51.48396,-56.80936
SBX002,ASF,OTN-Global,Underwater mooring,135.26,SBX002,51.38129,-56.62401
SBX003,ASF,OTN-Global,Underwater mooring,135.26,SBX003,51.38595,-56.63243
SBX004,ASF,OTN-Global,Underwater mooring,135.26,SBX004,51.39062,-56.64086
SBX005,ASF,OTN-Global,Underwater mooring,135.26,SBX005,51.39529,-56.64928
SBX008,ASF,OTN-Global,Underwater mooring,135.26,SBX008,51.40929,-56.67456
SBX009,ASF,OTN-Global,Underwater mooring,135.26,SBX009,51.41396,-56.68298
SBX010,ASF,OTN-Global,Underwater mooring,135.26,SBX010,51.41862,-56.69141
SBX011,ASF,OTN-Global,Underwater mooring,135.26,SBX011,51.42329,-56.69983
SBX-ST100,ASF,OTN-Global,Underwater mooring,135.26,SBX-ST100,51.3843,-56.5796
SBX-ST034,ASF,OTN-Global,Underwater mooring,135.26,SBX-ST034,51.4822,-56.8062
SBX-PODNL,ASF,OTN-Global,Underwater mooring,105,SBX-PODNL,51.3705,-56.7461
SBX012,ASF,OTN-Global,Underwater mooring,135.26,SBX012,51.42796,-56.70826
SBX013,ASF,OTN-Global,Underwater mooring,135.26,SBX013,51.43262,-56.71668
SBX014,ASF,OTN-Global,Underwater mooring,135.26,SBX014,51.43729,-56.72511
SBX015,ASF,OTN-Global,Underwater mooring,135.26,SBX015,51.44196,-56.73353
SBX016,ASF,OTN-Global,Underwater mooring,135.26,SBX016,51.44662,-56.74196
SBX-ST027,ASF,OTN-Global,Underwater mooring,135.26,SBX-ST027,51.3936,-56.646
SBX024,ASF,OTN-Global,Underwater mooring,116.7,SBX024,51.47649,-56.79588
SBX021,ASF,OTN-Global,Underwater mooring,105.2,SBX021,51.46809,-56.78071
SBX-ST028,ASF,OTN-Global,Underwater mooring,135.26,SBX-ST028,51.4262,-56.7051
SBX-ST033,ASF,OTN-Global,Underwater mooring,135.26,SBX-ST033,51.4667,-56.7782
SBX022,ASF,OTN-Global,Underwater mooring,106.1,SBX022,51.47089,-56.78577
SBX017,ASF,OTN-Global,Underwater mooring,135.26,SBX017,51.45129,-56.75038
SBX018,ASF,OTN-Global,Underwater mooring,135.26,SBX018,51.45596,-56.75881
SBX023,ASF,OTN-Global,Underwater mooring,105.5,SBX023,51.47369,-56.79082
SBX-ST029,ASF,OTN-Global,Underwater mooring,135.26,SBX-ST029,51.4536,-56.7546
SBX-ST030,ASF,OTN-Global,Underwater mooring,135.26,SBX-ST030,51.4542,-56.7557
SBX-ST032,ASF,OTN-Global,Underwater mooring,135.26,SBX-ST032,51.4554,-56.7578
SBX-ST031,ASF,OTN-Global,Underwater mooring,135.26,SBX-ST031,51.4548,-56.7567
SBX-PODLB,ASF,OTN-Global,Underwater mooring,105,SBX-PODLB,51.4591,-56.8179
ASF-Cassilis  (most downstream)-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Cassilis  (most downstream)-2004,46.9369,-65.7804
ASF-Cassilis  (most upstream)-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Cassilis  (most upstream)-2004,46.9354,-65.7827
ASF-Catamaran Brook 1-2003,ASF,OTN-Global,Underwater mooring,135.26,ASF-Catamaran Brook 1-2003,46.7667,-67.1
ASF-Catamaran Brook 2-2003,ASF,OTN-Global,Underwater mooring,135.26,ASF-Catamaran Brook 2-2003,46.7667,-66.0833
Enclosure-2016,ASF,OTN-Global,Underwater mooring,6,Enclosure-2016,46.9593,-65.5843
PODLB,ASF,OTN-Global,Underwater mooring,105,PODLB,51.4591,-56.8179
PODNL,ASF,OTN-Global,Underwater mooring,105,PODNL,51.3705,-56.7461
ASF-2 MILE POOL PAT. RIVER,ASF,OTN-Global,Underwater mooring,135.26,ASF-2 MILE POOL PAT. RIVER,43.03,-66.37
ASF-HOT pool,ASF,OTN-Global,Underwater mooring,135.26,ASF-HOT pool,43.03,-66.37
Barnaby Isl.-2016,ASF,OTN-Global,Underwater mooring,4,Barnaby Isl.-2016,46.9109,-65.6218
BLW Little Sevogle-2016,ASF,OTN-Global,Underwater mooring,135.26,BLW Little Sevogle-2016,47.0126,-65.8374
Casc 1-2016,ASF,OTN-Global,Underwater mooring,4,Casc 1-2016,48.2084,-65.9053
Casc 2-2016,ASF,OTN-Global,Underwater mooring,3,Casc 2-2016,48.1903,-65.9046
Cassilis-2016,ASF,OTN-Global,Underwater mooring,2,Cassilis-2016,46.935,-65.7831
Cassilis B-2016,ASF,OTN-Global,Underwater mooring,2,Cassilis B-2016,46.935,-65.7831
CB10-2016,ASF,OTN-Global,Underwater mooring,76.2,CB10-2016,47.875,-65.2629
CB11-2016,ASF,OTN-Global,Underwater mooring,73.152,CB11-2016,47.8812,-65.269
CB1-2016,ASF,OTN-Global,Underwater mooring,7.9248,CB1-2016,47.8172,-65.2099
CB12-2016,ASF,OTN-Global,Underwater mooring,71.628,CB12-2016,47.8878,-65.2748
CB13-2016,ASF,OTN-Global,Underwater mooring,73.152,CB13-2016,47.8941,-65.2807
CB14-2016,ASF,OTN-Global,Underwater mooring,73.152,CB14-2016,47.9007,-65.2867
CB15-2016,ASF,OTN-Global,Underwater mooring,73.152,CB15-2016,47.9071,-65.2926
CB16-2016,ASF,OTN-Global,Underwater mooring,73.152,CB16-2016,47.9134,-65.2984
CB17-2016,ASF,OTN-Global,Underwater mooring,73.152,CB17-2016,47.9199,-65.304
CB18-2016,ASF,OTN-Global,Underwater mooring,73.152,CB18-2016,47.9263,-65.3101
CB19-2016,ASF,OTN-Global,Underwater mooring,68.58,CB19-2016,47.9327,-65.316
CB20-2016,ASF,OTN-Global,Underwater mooring,65.532,CB20-2016,47.9393,-65.3219
CB21-2016,ASF,OTN-Global,Underwater mooring,60.96,CB21-2016,47.9457,-65.3278
CB2-2016,ASF,OTN-Global,Underwater mooring,30.48,CB2-2016,47.8236,-65.216
CB22-2016,ASF,OTN-Global,Underwater mooring,57.912,CB22-2016,47.9521,-65.3338
CB23-2016,ASF,OTN-Global,Underwater mooring,51.816,CB23-2016,47.9586,-65.3397
CB24-2016,ASF,OTN-Global,Underwater mooring,45.72,CB24-2016,47.9649,-65.3456
CB25-2016,ASF,OTN-Global,Underwater mooring,45.72,CB25-2016,47.9714,-65.3516
CB26-2016,ASF,OTN-Global,Underwater mooring,39.624,CB26-2016,47.9778,-65.3575
CB27-2016,ASF,OTN-Global,Underwater mooring,30.48,CB27-2016,47.9842,-65.3634
CB28-2016,ASF,OTN-Global,Underwater mooring,18.288,CB28-2016,47.9906,-65.369
ASF-Chaleur Bay 10-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Chaleur Bay 10-2004,47.9025,-65.2102
ASF-Chaleur Bay 11-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Chaleur Bay 11-2004,47.9112,-65.2132
CB3-2016,ASF,OTN-Global,Underwater mooring,36.576,CB3-2016,47.8299,-65.2217
CB4-2016,ASF,OTN-Global,Underwater mooring,39.624,CB4-2016,47.8363,-65.2275
CB5-2016,ASF,OTN-Global,Underwater mooring,48.768,CB5-2016,47.8429,-65.2334
CB6-2016,ASF,OTN-Global,Underwater mooring,57.912,CB6-2016,47.8494,-65.2394
CB7-2016,ASF,OTN-Global,Underwater mooring,67.056,CB7-2016,47.8556,-65.2452
CB8-2016,ASF,OTN-Global,Underwater mooring,70.104,CB8-2016,47.8621,-65.2511
CB9-2016,ASF,OTN-Global,Underwater mooring,65.532,CB9-2016,47.8685,-65.257
Chatham-2016,ASF,OTN-Global,Underwater mooring,6.3,Chatham-2016,47.0211,-65.4954
DAL 1-2016,ASF,OTN-Global,Underwater mooring,10,DAL 1-2016,48.0635,-66.3468
DAL 2-2016,ASF,OTN-Global,Underwater mooring,20,DAL 2-2016,48.0695,-66.3388
DAL 3-2016,ASF,OTN-Global,Underwater mooring,12,DAL 3-2016,48.0746,-66.3322
DALJ 1-2016,ASF,OTN-Global,Underwater mooring,9,DALJ 1-2016,48.0441,-66.5358
French Fort Cove-2016,ASF,OTN-Global,Underwater mooring,7.5,French Fort Cove-2016,47.015,-65.5433
Hacketts Beach-2016,ASF,OTN-Global,Underwater mooring,7,Hacketts Beach-2016,46.9576,-65.6726
Huckleberry 1-2016,ASF,OTN-Global,Underwater mooring,1,Huckleberry 1-2016,47.0772,-64.9534
Huckleberry 2-2016,ASF,OTN-Global,Underwater mooring,1,Huckleberry 2-2016,47.0777,-64.9511
Johnson Bridge-2016,ASF,OTN-Global,Underwater mooring,135.26,Johnson Bridge-2016,46.9634,-65.8264
Kingston Lane-2016,ASF,OTN-Global,Underwater mooring,135.26,Kingston Lane-2016,47.0828,-65.8264
Loggieville-2016,ASF,OTN-Global,Underwater mooring,9.5,Loggieville-2016,47.0773,-65.3925
Loggieville 2-2016,ASF,OTN-Global,Underwater mooring,135.26,Loggieville 2-2016,47.0746,-65.3899
Loggieville B-2016,ASF,OTN-Global,Underwater mooring,9.5,Loggieville B-2016,47.0773,-65.3925
Mann Mtn 1-2016,ASF,OTN-Global,Underwater mooring,135.26,Mann Mtn 1-2016,47.962,-66.9437
Mann Mtn 2-2016,ASF,OTN-Global,Underwater mooring,135.26,Mann Mtn 2-2016,47.962,-66.9437
Middle Island-2016,ASF,OTN-Global,Underwater mooring,10,Middle Island-2016,47.0553,-65.4557
Millerton-2016,ASF,OTN-Global,Underwater mooring,4,Millerton-2016,46.8763,-65.664
Millstream-2016,ASF,OTN-Global,Underwater mooring,4.3,Millstream-2016,46.9651,-65.7088
Miners Bridge-2016,ASF,OTN-Global,Underwater mooring,135.26,Miners Bridge-2016,47.1929,-65.8802
Neguac 2-2016,ASF,OTN-Global,Underwater mooring,3,Neguac 2-2016,47.2063,-65.0381
Neguac 3-2016,ASF,OTN-Global,Underwater mooring,2,Neguac 3-2016,47.2059,-65.0463
ASF-2014 Dal Junction 2,ASF,OTN-Global,Underwater mooring,9,ASF-2014 Dal Junction 2,48.0516,-66.54
ASF-2014 Doyle's,ASF,OTN-Global,Underwater mooring,135.26,ASF-2014 Doyle's,46.8438,-65.7323
ASF-2014 REST 1,ASF,OTN-Global,Underwater mooring,2.1,ASF-2014 REST 1,48.0029,-66.6978
ASF-2014 REST 2,ASF,OTN-Global,Underwater mooring,2.1,ASF-2014 REST 2,48.005,-66.6981
ASF-2014 REST 3,ASF,OTN-Global,Underwater mooring,2.7,ASF-2014 REST 3,48.0067,-66.6984
ASF-2014 REST 4,ASF,OTN-Global,Underwater mooring,6.1,ASF-2014 REST 4,48.0105,-66.6755
ASF-2014 REST 5,ASF,OTN-Global,Underwater mooring,5.5,ASF-2014 REST 5,48.0117,-66.6766
ASF-2014 REST 6,ASF,OTN-Global,Underwater mooring,3.7,ASF-2014 REST 6,48.0132,-66.6779
ASF-2014 Barnaby Island,ASF,OTN-Global,Underwater mooring,4,ASF-2014 Barnaby Island,46.9109,-65.6221
ASF-2014 Dal Junction 1,ASF,OTN-Global,Underwater mooring,9,ASF-2014 Dal Junction 1,48.0446,-66.5363
ASF-Barnaby Island-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Barnaby Island-2004,46.9113,-65.6219
ASF-Beaubear Island 1-2003,ASF,OTN-Global,Underwater mooring,135.26,ASF-Beaubear Island 1-2003,46.7667,-66.0833
ASF-Beaubear Island 2-2003,ASF,OTN-Global,Underwater mooring,135.26,ASF-Beaubear Island 2-2003,46.7667,-66.0833
ASF-Beaubear Island 3-2003,ASF,OTN-Global,Underwater mooring,135.26,ASF-Beaubear Island 3-2003,46.7667,-66.0833
ASF-Beaubear Island 4-2003,ASF,OTN-Global,Underwater mooring,135.26,ASF-Beaubear Island 4-2003,46.7667,-66.0833
ASF-Beaubear Island 5-2003,ASF,OTN-Global,Underwater mooring,135.26,ASF-Beaubear Island 5-2003,46.7667,-66.0833
ASF-Beaubear Island 6-2003,ASF,OTN-Global,Underwater mooring,135.26,ASF-Beaubear Island 6-2003,46.7667,-66.0833
ASF-Beaubear Island 7-2003,ASF,OTN-Global,Underwater mooring,135.26,ASF-Beaubear Island 7-2003,46.7667,-66.0833
ASF-Beaubear Island 8-2003,ASF,OTN-Global,Underwater mooring,135.26,ASF-Beaubear Island 8-2003,46.7667,-66.0833
ASF-Boiestown 1-2003,ASF,OTN-Global,Underwater mooring,135.26,ASF-Boiestown 1-2003,46.7667,-67.1
ASF-Boiestown 2-2003,ASF,OTN-Global,Underwater mooring,135.26,ASF-Boiestown 2-2003,46.7667,-67.1
ASF-Boiestown 3-2003,ASF,OTN-Global,Underwater mooring,135.26,ASF-Boiestown 3-2003,46.7667,-67.1
ASF-Boiestown 4-2003,ASF,OTN-Global,Underwater mooring,135.26,ASF-Boiestown 4-2003,46.7667,-67.1
ASF-Boisetown-Tuckaway Lodge-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Boisetown-Tuckaway Lodge-2004,46.4758,-66.4015
Nelson-2016,ASF,OTN-Global,Underwater mooring,4.1,Nelson-2016,46.9874,-65.5591
N. Portage 1-2016,ASF,OTN-Global,Underwater mooring,10,N. Portage 1-2016,47.1475,-65.0557
N. Portage 2-2016,ASF,OTN-Global,Underwater mooring,11,N. Portage 2-2016,47.1479,-65.0486
N. Portage 3-2016,ASF,OTN-Global,Underwater mooring,13,N. Portage 3-2016,47.148,-65.0415
Parks Landing-2016,ASF,OTN-Global,Underwater mooring,5,Parks Landing-2016,46.9324,-65.7976
Quarryville-2016,ASF,OTN-Global,Underwater mooring,135.26,Quarryville-2016,46.8296,-65.7843
Red Bank-2016,ASF,OTN-Global,Underwater mooring,5,Red Bank-2016,46.9409,-65.819
REST 4-2016,ASF,OTN-Global,Underwater mooring,6.096,REST 4-2016,48.0105,-66.6755
REST 5-2016,ASF,OTN-Global,Underwater mooring,5.4864,REST 5-2016,48.0117,-66.6766
REST 6-2016,ASF,OTN-Global,Underwater mooring,3.6576,REST 6-2016,48.0132,-66.6779
ASF-Chaleur Bay 12-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Chaleur Bay 12-2004,47.9287,-65.2162
ASF-Chaleur Bay 13-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Chaleur Bay 13-2004,47.9287,-65.2193
ASF-Chaleur Bay 14-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Chaleur Bay 14-2004,47.9375,-65.2223
ASF-Chaleur Bay 15-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Chaleur Bay 15-2004,47.9462,-65.2255
ASF-Chaleur Bay 16-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Chaleur Bay 16-2004,47.955,-65.2285
ASF-Chaleur Bay 17-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Chaleur Bay 17-2004,47.9637,-65.2315
ASF-Chaleur Bay 18-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Chaleur Bay 18-2004,47.9723,-65.2348
ASF-Chaleur Bay 19-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Chaleur Bay 19-2004,47.9812,-65.2377
ASF-Chaleur Bay 20-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Chaleur Bay 20-2004,47.99,-65.2408
ASF-Chaleur Bay 21-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Chaleur Bay 21-2004,47.9987,-65.2438
ASF-Chaleur Bay 2-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Chaleur Bay 2-2004,47.8327,-65.1857
ASF-Chaleur Bay 22-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Chaleur Bay 22-2004,48.0075,-65.2468
ASF-Chaleur Bay 23-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Chaleur Bay 23-2004,48.0107,-65.248
ASF-Chaleur Bay 3-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Chaleur Bay 3-2004,47.8413,-65.1887
ASF-Chaleur Bay 4-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Chaleur Bay 4-2004,47.8502,-65.1918
ASF-Chaleur Bay 5-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Chaleur Bay 5-2004,47.8588,-65.1948
ASF-Chaleur Bay 6-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Chaleur Bay 6-2004,47.8675,-65.1978
ASF-Chaleur Bay 7-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Chaleur Bay 7-2004,47.8762,-65.2008
ASF-Chaleur Bay 8-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Chaleur Bay 8-2004,47.885,-65.204
ASF-Chaleur Bay 9-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Chaleur Bay 9-2004,47.8937,-65.207
ASF-Chatham; Eagle Forest (north side)-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Chatham; Eagle Forest (north side)-2004,47.0217,-65.4963
ASF-Chatham; Eagle Forest (south side)-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Chatham; Eagle Forest (south side)-2004,47.0196,-65.4944
ASF-Clearwater Brook 1-2003,ASF,OTN-Global,Underwater mooring,135.26,ASF-Clearwater Brook 1-2003,46.7667,-67.1
ASF-Clearwater Brook 2-2003,ASF,OTN-Global,Underwater mooring,135.26,ASF-Clearwater Brook 2-2003,46.7667,-67.1
ASF-Clearwater Brook 3-2003,ASF,OTN-Global,Underwater mooring,135.26,ASF-Clearwater Brook 3-2003,46.7667,-67.1
ASF-Doaktown 1-2003,ASF,OTN-Global,Underwater mooring,135.26,ASF-Doaktown 1-2003,46.7667,-67.1
ASF-Doaktown 2-2003,ASF,OTN-Global,Underwater mooring,135.26,ASF-Doaktown 2-2003,46.7667,-67.1
ASF-East of Beaubear Island-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-East of Beaubear Island-2004,46.9895,-65.5587
ASF-Eel Ground-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Eel Ground-2004,46.9608,-65.6175
ASF-Enclosure (below train bridge)-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Enclosure (below train bridge)-2004,46.9583,-65.5854
"ASF-Enclosure (West end  of Beaubear Island, Southwest Miramichi)-2004",ASF,OTN-Global,Underwater mooring,135.26,"ASF-Enclosure (West end  of Beaubear Island, Southwest Miramichi)-2004",46.9617,-65.5796
"ASF-Hackett's Beach (power lines), Northwest Miramichi-2004",ASF,OTN-Global,Underwater mooring,135.26,"ASF-Hackett's Beach (power lines), Northwest Miramichi-2004",46.9571,-65.6806
ASF-Head of Tide 1-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Head of Tide 1-2004,47.994,-66.7503
ASF-Head of Tide 2-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Head of Tide 2-2004,47.9975,-66.7518
ASF-Head of Tide 3-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Head of Tide 3-2004,48.0003,-66.7563
ASF-Head of Tide 4-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Head of Tide 4-2004,48.0035,-66.7583
ASF-Head of Tide 5-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Head of Tide 5-2004,47.9982,-66.7322
ASF-Head of Tide 6-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Head of Tide 6-2004,48.0055,-66.734
ASF-Head of Tide 7-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Head of Tide 7-2004,48.002,-66.7053
ASF-Huckleberry Gully East-2003,ASF,OTN-Global,Underwater mooring,135.26,ASF-Huckleberry Gully East-2003,47.7833,-65.0667
JDF013,JDF,nep,Underwater mooring,180,JDF013,48.30677,-124.00615
ASF-Huckleberry Gully West-2003,ASF,OTN-Global,Underwater mooring,135.26,ASF-Huckleberry Gully West-2003,47.7833,-65.0667
ASF-Junction Pool-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Junction Pool-2004,47.6645,-67.4895
ASF-Listiguj Smolt Wheel 1-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Listiguj Smolt Wheel 1-2004,47.9972,-66.816
ASF-Listiguj Smolt Wheel 2-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Listiguj Smolt Wheel 2-2004,47.9865,-66.8022
ASF-Little Southwest 1-2003,ASF,OTN-Global,Underwater mooring,135.26,ASF-Little Southwest 1-2003,46.7667,-66.0833
ASF-Little Southwest 2-2003,ASF,OTN-Global,Underwater mooring,135.26,ASF-Little Southwest 2-2003,46.7667,-66.0833
ASF-Little Southwest 3-2003,ASF,OTN-Global,Underwater mooring,135.26,ASF-Little Southwest 3-2003,46.7667,-66.0833
"ASF-Matapedia River, installed by F. Whoriskey-2004",ASF,OTN-Global,Underwater mooring,135.26,"ASF-Matapedia River, installed by F. Whoriskey-2004",47.9592,-66.9445
ASF-Middle Island (north side)-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Middle Island (north side)-2004,47.056,-65.4582
ASF-Middle Island (south side)-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Middle Island (south side)-2004,47.0529,-65.4568
ASF-Millerton 1-2003,ASF,OTN-Global,Underwater mooring,135.26,ASF-Millerton 1-2003,46.7667,-66.0833
ASF-Millerton 2-2003,ASF,OTN-Global,Underwater mooring,135.26,ASF-Millerton 2-2003,46.7667,-66.0833
ASF-Millerton 3-2003,ASF,OTN-Global,Underwater mooring,135.26,ASF-Millerton 3-2003,46.7667,-66.0833
ASF-Millerton 4-2003,ASF,OTN-Global,Underwater mooring,135.26,ASF-Millerton 4-2003,46.7667,-66.0833
"ASF-Millerton  (north side, trap side)-2004",ASF,OTN-Global,Underwater mooring,135.26,"ASF-Millerton  (north side, trap side)-2004",46.8771,-65.6642
"ASF-Millerton  (south side, Frank's side)-2004",ASF,OTN-Global,Underwater mooring,135.26,"ASF-Millerton  (south side, Frank's side)-2004",46.8788,-65.66
"ASF-Mouth of Doyles Brook, Southwest Miramichi-2004",ASF,OTN-Global,Underwater mooring,135.26,"ASF-Mouth of Doyles Brook, Southwest Miramichi-2004",46.8546,-65.6955
ASF-Mouth of Millstream  (north side)-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Mouth of Millstream  (north side)-2004,46.9671,-65.7097
ASF-Mouth of Millstream  (south side)-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Mouth of Millstream  (south side)-2004,46.9651,-65.707
"ASF-Mouth of Patapedia River, ( Million $ Pool)-2004",ASF,OTN-Global,Underwater mooring,135.26,"ASF-Mouth of Patapedia River, ( Million $ Pool)-2004",47.8455,-67.3703
"ASF-Mouth of Stewart Brook, Northwest Miramichi-2004",ASF,OTN-Global,Underwater mooring,135.26,"ASF-Mouth of Stewart Brook, Northwest Miramichi-2004",46.9623,-65.6569
ASF-Neguac Hay Island-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Neguac Hay Island-2004,47.2335,-65.0578
ASF-Neguac Portage Island-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-Neguac Portage Island-2004,47.1919,-65.0326
ASF-New bridge (Nelson)-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-New bridge (Nelson)-2004,46.9898,-65.5564
ASF-New bridge (Strawberry Marsh)-2004,ASF,OTN-Global,Underwater mooring,135.26,ASF-New bridge (Strawberry Marsh)-2004,46.9895,-65.5587
ASF-Northwest 1-2003,ASF,OTN-Global,Underwater mooring,135.26,ASF-Northwest 1-2003,46.7667,-66.0833
ASF-Northwest 2-2003,ASF,OTN-Global,Underwater mooring,135.26,ASF-Northwest 2-2003,46.7667,-66.0833
ASF-Northwest 3-2003,ASF,OTN-Global,Underwater mooring,135.26,ASF-Northwest 3-2003,46.7667,-66.0833
ASF-Northwest Miramichi 4-2003,ASF,OTN-Global,Underwater mooring,135.26,ASF-Northwest Miramichi 4-2003,46.7667,-66.0833
