platform_reference_id,platform_project_reference,datacenter_reference,platform_type,platform_depth,platform_name,latitude,longitude
,,,,,,degrees_north,degrees_east
SAF-PSJ005,SAF,OTN-Global,Underwater mooring,70,SAF-PSJ005,-31.62851,29.61389
RECAPTURE-SAIAB-23-14,SAF,OTN-Global,Underwater mooring,135.26,RECAPTURE-SAIAB-23-14,-33.72009,25.85276
GSB-GSB003,SAF,OTN-Global,Underwater mooring,29,GSB-GSB003,-34.71118,19.40718
EST-Coega,SAF,OTN-Global,Underwater mooring,3,EST-Coega,-33.79908,25.69785
EST-Gamtoos,SAF,OTN-Global,Underwater mooring,1.6,EST-Gamtoos,-33.96096,25.01524
EST-Gouritz,SAF,OTN-Global,Underwater mooring,1,EST-Gouritz,-34.33985,21.881
EST-Keiskamma,SAF,OTN-Global,Underwater mooring,1.3,EST-Keiskamma,-33.27771,27.48596
EST-Knysna,SAF,OTN-Global,Underwater mooring,6,EST-Knysna,-34.06535,23.04641
EST-Kromme,SAF,OTN-Global,Underwater mooring,1.8,EST-Kromme,-34.13954,24.83558
EST-Mzimvubu,SAF,OTN-Global,Underwater mooring,0.5,EST-Mzimvubu,-31.5952,29.52911
EST-Swartkops,SAF,OTN-Global,Underwater mooring,1.5,EST-Swartkops,-33.85946,25.6262
GSB-GSB001,SAF,OTN-Global,Underwater mooring,22,GSB-GSB001,-34.69697,19.40488
GSB-GSB004,SAF,OTN-Global,Underwater mooring,41,GSB-GSB004,-34.71837,19.40892
GSB-GSB005,SAF,OTN-Global,Underwater mooring,62,GSB-GSB005,-34.72553,19.41082
GWE-GG001,SAF,OTN-Global,Underwater mooring,18,GWE-GG001,-31.293,30.0168
JP-JP001,SAF,OTN-Global,Underwater mooring,25,JP-JP001,-27.5612,32.6861
JP-JP002,SAF,OTN-Global,Underwater mooring,40,JP-JP002,-27.56112,32.69218
JP-JP003,SAF,OTN-Global,Underwater mooring,63,JP-JP003,-27.56113,32.69847
JP-JP004,SAF,OTN-Global,Underwater mooring,68,JP-JP004,-27.56118,32.70455
JP-JP005,SAF,OTN-Global,Underwater mooring,96,JP-JP005,-27.56113,32.7112
SAF-AB008,SAF,OTN-Global,Underwater mooring,25,SAF-AB008,-33.83396,26.31708
SAF-AB009,SAF,OTN-Global,Underwater mooring,22,SAF-AB009,-33.84197,26.31772
SAF-AB010,SAF,OTN-Global,Underwater mooring,25,SAF-AB010,-33.84899,26.31833
SAF-AB011,SAF,OTN-Global,Underwater mooring,34,SAF-AB011,-33.8571,26.31908
