FID,CHSA_CD,CHSA_Name,CHSA_Title,LHA_CD,LHA_Name,LHA_Title,LHA_CD1997,HSDA_CD,HSDA_ID,HSDA_Name,HSDA_Title,HA_CD,HA_ID,HA_Name,HA_Title,CHSA_UR_Cl,CHSA_Pop16,CHSA_Area,Latitude,Longitude,Shape__Area,Shape__Length
43,2122,North Chilliwack,2122 North Chilliwack,212,Chilliwack,212 Chilliwack,033,21,21 FE,Fraser East,21 Fraser East,2,2 FHA,Fraser,2 Fraser,3 Medium Urban,41936,164.6,49.184957,-121.889327,384900296.851563,147249.511962805
44,2131,Central Abbotsford,2131 Central Abbotsford,213,Abbotsford,213 Abbotsford,034,21,21 FE,Fraser East,21 Fraser East,2,2 FHA,Fraser,2 Fraser,2 Large Urban,22754,8.81,49.048247,-122.292291,20498117.578125,26230.1769689347
45,2132,East Abbotsford,2132 East Abbotsford,213,Abbotsford,213 Abbotsford,034,21,21 FE,Fraser East,21 Fraser East,2,2 FHA,Fraser,2 Fraser,2 Large Urban,35584,83.15,49.091095,-122.191622,193704869.4375,79770.5227645878
46,2133,West Abbotsford,2133 West Abbotsford,213,Abbotsford,213 Abbotsford,034,21,21 FE,Fraser East,21 Fraser East,2,2 FHA,Fraser,2 Fraser,2 Large Urban,58511,20.17,49.060139,-122.335901,46932637.8828125,36562.056305948
47,2134,Abbotsford Rural,2134 Abbotsford Rural,213,Abbotsford,213 Abbotsford,034,21,21 FE,Fraser East,21 Fraser East,2,2 FHA,Fraser,2 Fraser,6 Rural,24836,299.72,49.027937,-122.372476,697618078.84375,212502.033983586
48,2142,North Mission,2142 North Mission,214,Mission,214 Mission,075,21,21 FE,Fraser East,21 Fraser East,2,2 FHA,Fraser,2 Fraser,6 Rural,16854,1425.94,49.400662,-122.273823,3363687412.25781,429540.459841939
49,2150,Agassiz/Harrison,2150 Agassiz/Harrison,215,Agassiz/Harrison,215 Agassiz/Harrison,076,21,21 FE,Fraser East,21 Fraser East,2,2 FHA,Fraser,2 Fraser,5 Rural Hub,9696,4111.86,49.680442,-122.046328,9818252210.79688,748117.342327253
50,2210,New Westminster,2210 New Westminster,221,New Westminster,221 New Westminster,040,22,22 FN,Fraser North,22 Fraser North,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,70996,18.59,49.214744,-122.914242,43520225.75,33330.847036783
51,2221,Burnaby Northwest,2221 Burnaby Northwest,222,Burnaby,222 Burnaby,041,22,22 FN,Fraser North,22 Fraser North,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,47161,16.2,49.273549,-122.994662,38017834.234375,28868.6953962818
52,2222,Burnaby Northeast,2222 Burnaby Northeast,222,Burnaby,222 Burnaby,041,22,22 FN,Fraser North,22 Fraser North,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,45434,29.84,49.265624,-122.931331,70002729.6171875,35575.4068587911
53,2223,Burnaby Southwest,2223 Burnaby Southwest,222,Burnaby,222 Burnaby,041,22,22 FN,Fraser North,22 Fraser North,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,81414,31.03,49.221844,-122.994161,72667506.4140625,40521.5118233779
54,2224,Burnaby Southeast,2224 Burnaby Southeast,222,Burnaby,222 Burnaby,041,22,22 FN,Fraser North,22 Fraser North,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,58746,14.89,49.226176,-122.941219,34884913.1640625,30219.8544668828
55,2231,Haney,2231 Haney,223,Maple Ridge/Pitt Meadows,223 Maple Ridge/Pitt Meadows,042,22,22 FN,Fraser North,22 Fraser North,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,30824,13.46,49.221694,-122.594828,31509566.9453125,28875.8513020028
56,2232,Pitt Meadows,2232 Pitt Meadows,223,Maple Ridge/Pitt Meadows,223 Maple Ridge/Pitt Meadows,042,22,22 FN,Fraser North,22 Fraser North,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,18835,96.4,49.271344,-122.661486,226212553.867188,87605.8873633939
57,2233,Maple Ridge Rural,2233 Maple Ridge Rural,223,Maple Ridge/Pitt Meadows,223 Maple Ridge/Pitt Meadows,042,22,22 FN,Fraser North,22 Fraser North,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,51442,1350.62,49.585121,-122.565285,3210775143.90625,507818.332986075
58,2241,North Coquitlam,2241 North Coquitlam,224,Tri-Cities,224 Tri-Cities,043,22,22 FN,Fraser North,22 Fraser North,2,2 FHA,Fraser,2 Fraser,1 Metropolitan,40842,606.63,49.442494,-122.736455,1433297809.85156,183934.527490844
